Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,GBR,2012,2,50,101,13,2.02,2.6379491106168222
RUS,ISR,2010,1,510,716,13,1.4039215686274509,1.4878632487166363
RUS,KAZ,2014,1,1270,1502,13,1.1826771653543307,0.841973598805647
RUS,KGZ,2012,1,570,615,13,1.0789473684210527,0.7107600926835906
RUS,ISR,2016,3,84,139,13,1.6547619047619047,2.0912557340118143
RUS,IDN,2014,1,46,62,13,1.3478260869565217,1.7791057841804538
RUS,BRA,2014,1,259,339,13,1.308880308880309,1.091350019683635
RUS,YEM,2012,1,40,59,13,1.475,1.9213710382606133
RUS,IRQ,2013,1,47,79,13,1.6808510638297873,2.3600514270255566
RUS,TUR,2011,1,368,460,13,1.25,0.7933648548527538
RUS,POL,2013,1,184,323,13,1.7554347826086956,2.0298248399724925
RUS,FRA,2011,3,111,172,13,1.5495495495495495,1.8961143940305385
RUS,WST,2009,2,42,65,13,1.5476190476190477,1.889668714705214
RUS,TUR,2011,2,17,30,13,1.7647058823529411,2.905370281149761
RUS,IND,2015,1,212,357,13,1.6839622641509433,1.9322965631724158
RUS,SGP,2009,1,102,124,13,1.2156862745098038,1.2477897368284843
RUS,IRN,2012,3,193,298,13,1.544041450777202,1.5476387385108807
RUS,EUR,2011,3,97,190,13,1.958762886597938,2.375734648540303
RUS,UZB,2016,1,591,836,13,1.4145516074450084,1.4954364796623898
RUS,IRN,2014,4,71,105,13,1.4788732394366197,1.8272473828105287
RUS,DEU,2009,1,1020,1486,13,1.4568627450980391,1.4318341829151833
RUS,SWE,2014,1,151,229,13,1.5165562913907285,1.4780812094773934
RUS,CYP,2013,1,281,375,13,1.3345195729537367,1.3100642843310464
RUS,PRK,2016,1,412,536,13,1.3009708737864079,1.2407120744573834
RUS,TUR,2008,1,305,396,12,1.298360655737705,1.3905806013939839
RUS,FIN,2013,1,144,256,12,1.7777777777777777,1.8184925919330295
RUS,EUR,2017,4,91,137,12,1.5054945054945055,1.8521676572397623
RUS,CHN,2013,1,1892,2698,12,1.4260042283298098,1.2713830691401105
RUS,BEL,2017,1,170,265,12,1.5588235294117647,1.6816302401336178
RUS,PAK,2016,2,41,64,12,1.5609756097560976,1.8172614078305422
RUS,CZE,2012,2,9,33,12,3.6666666666666665,4.743416490252569
RUS,NLD,2013,2,46,92,12,2.0,2.299758441421379
RUS,JOR,2015,4,15,35,12,2.3333333333333335,3.1547394428670255
RUS,ISR,2011,1,331,454,12,1.3716012084592144,1.2568515875832977
RUS,USA,2008,1,2603,3068,12,1.1786400307337688,0.6647869821475877
RUS,IRN,2009,2,49,60,12,1.2244897959183674,1.5714285714285712
RUS,GBR,2009,2,38,84,12,2.210526315789474,2.6626332702272753
RUS,SYR,2011,4,33,57,12,1.7272727272727273,2.095720748226122
RUS,LBN,2013,4,7,18,12,2.5714285714285716,4.1576092031015
RUS,PSE,2016,3,19,33,12,1.736842105263158,2.5131234497501733
RUS,MNG,2016,1,151,203,12,1.3443708609271523,1.3066310757868576
RUS,AZE,2013,1,1023,1235,12,1.2072336265884653,0.7876657227316582
RUS,MMR,2016,1,72,137,12,1.9027777777777777,2.5351596456229326
