Actor1CountryCode,Actor2CountryCode,Year,ECount,AvgQuadClass
USA,ARG,2012,2613,1.6394948335246842
USA,AUS,2012,21936,1.6952042304886943
USA,BEL,2012,4889,1.8377991409286152
USA,BGD,2012,3063,1.5674175644792687
USA,BHS,2012,2325,1.552258064516129
USA,BLZ,2012,1136,2.0528169014084505
USA,BMU,2012,1806,1.8654485049833887
USA,BOL,2012,1886,1.7799575821845175
USA,BRA,2012,6262,1.5598850207601405
USA,BWA,2012,296,1.5405405405405406
USA,CHL,2012,2578,1.7276958882854927
USA,CHN,2012,61267,1.60766807579937
USA,COG,2012,661,1.9213313161875945
USA,COL,2012,6237,1.715568382235049
USA,CUB,2012,12275,1.705580448065173
USA,CZE,2012,1509,1.6235917826375084
USA,DOM,2012,1565,1.6300319488817892
USA,DZA,2012,1287,1.7303807303807304
USA,ETH,2012,1377,1.5715323166303559
USA,EUR,2012,20372,1.6162379736893775
USA,FIN,2012,2192,1.5291970802919708
USA,FRA,2012,27564,1.6298069946306777
USA,GHA,2012,2158,1.4138090824837812
USA,GIN,2012,298,1.674496644295302
USA,GNB,2012,179,2.089385474860335
USA,GRD,2012,2118,1.905099150141643
USA,GTM,2012,1991,1.8543445504771472
USA,HND,2012,1759,1.8527572484366117
USA,HTI,2012,3115,1.5829855537720707
USA,IDN,2012,4669,1.6909402441636325
USA,PGS,2012,631,1.8874801901743266
USA,SEA,2012,2151,1.3607624360762436
USA,WST,2012,6997,1.7468915249392596
USA,IND,2012,7451,1.67145349617501
USA,IRL,2012,9200,1.6475
USA,IRQ,2012,21648,2.0067442719881745
USA,ISR,2012,49666,1.660733701123505
USA,ITA,2012,13640,1.6870967741935483
USA,JAM,2012,3043,1.7255997371015446
USA,KAZ,2012,985,1.5390862944162436
USA,KEN,2012,3105,1.8341384863123993
USA,KOR,2012,13619,1.7318452162420148
USA,KWT,2012,1962,1.6116207951070336
USA,LBN,2012,6581,2.0378361951071264
USA,LBY,2012,16117,2.274803003040268
USA,LCA,2012,497,1.5211267605633803
USA,LKA,2012,2233,1.652037617554859
USA,LVA,2012,534,1.601123595505618
USA,MCO,2012,2035,1.857002457002457
USA,MDV,2012,6334,2.1435112093463844
USA,MEX,2012,30559,1.9016001832520697
USA,MKD,2012,369,1.7154471544715446
USA,MLT,2012,654,1.584097859327217
USA,MRT,2012,248,1.7338709677419355
USA,MWI,2012,669,1.5754857997010463
USA,NAM,2012,212,1.570754716981132
USA,NLD,2012,7241,1.8054136169037425
USA,NOR,2012,2825,1.6201769911504424
USA,NPL,2012,1741,1.6369902354968409
USA,PAK,2012,35272,2.0954865048763893
USA,PAN,2012,1846,1.5698808234019501
USA,PER,2012,3151,1.7175499841320216
USA,PHL,2012,10452,1.7381362418675852
USA,PRK,2012,10275,1.707250608272506
USA,PRT,2012,1460,1.680821917808219
USA,PRY,2012,652,1.7638036809815951
USA,PSE,2012,10646,1.8863422881833551
USA,QAT,2012,2918,1.4784098697738177
USA,RWA,2012,988,1.805668016194332
USA,SAS,2012,471,1.7154989384288748
USA,SAU,2012,6160,1.6847402597402596
USA,SDN,2012,4668,1.9762210796915167
USA,SGP,2012,2413,1.4554496477414007
USA,SWE,2012,3684,1.6495656894679696
USA,SYC,2012,771,1.6796368352788587
USA,SYR,2012,38469,1.9948270035613092
USA,TCD,2012,1412,2.094900849858357
USA,THA,2012,4245,1.7090694935217903
USA,TUN,2012,2365,1.9936575052854122
USA,TUR,2012,14260,1.5633941093969144
USA,UGA,2012,2489,1.8336681398151868
USA,VAT,2012,1504,1.663563829787234
USA,VCT,2012,629,1.5437201907790143
USA,VNM,2012,8639,1.6736890843847667
USA,YEM,2012,7543,2.1413230810022537
USA,ZWE,2012,2193,1.891016871865025
USA,GUY,2012,2528,1.7515822784810127
USA,BRN,2012,636,1.498427672955975
USA,NMR,2012,4204,1.4162702188392007
USA,MMR,2012,11197,1.4411896043583103
USA,CAF,2012,500,2.204
USA,CRI,2012,930,1.5838709677419356
USA,ECU,2012,3337,1.6985316152232544
VAT,USA,2012,1683,1.8288770053475936
VNM,USA,2012,7549,1.7206252483772686
YEM,USA,2012,7623,2.084087629542175
ZAF,USA,2012,2146,1.7348555452003729
ZWE,USA,2012,2525,1.8403960396039605
AFG,USA,2012,60537,2.226043576655599
DEU,USA,2012,23004,1.6649278386367588
FRA,USA,2012,30631,1.6443798765956057
AFR,USA,2012,14867,1.6636846707472928
ALB,USA,2012,415,1.7469879518072289
ARE,USA,2012,3580,1.56731843575419
